acq_year,groupname,count,total
2001,inawebohona,334,15331
2002,inawebohona,190,15331
2003,inawebohona,589,15331
2004,inawebohona,350,15331
2005,inawebohona,716,15331
2006,inawebohona,171,15331
2007,inawebohona,1525,15331
2008,inawebohona,271,15331
2009,inawebohona,61,15331
2010,inawebohona,2015,15331
2011,inawebohona,92,15331
2012,inawebohona,1744,15331
2013,inawebohona,342,15331
2014,inawebohona,868,15331
2015,inawebohona,808,15331
2016,inawebohona,1336,15331
2017,inawebohona,1454,15331
2018,inawebohona,292,15331
2019,inawebohona,2173,15331
2001,kadiwtu,632,17030
2002,kadiwtu,1152,17030
2003,kadiwtu,215,17030
2004,kadiwtu,579,17030
2005,kadiwtu,2028,17030
2006,kadiwtu,752,17030
2007,kadiwtu,1876,17030
2008,kadiwtu,903,17030
2009,kadiwtu,314,17030
2010,kadiwtu,1719,17030
2011,kadiwtu,669,17030
2012,kadiwtu,290,17030
2013,kadiwtu,719,17030
2014,kadiwtu,178,17030
2015,kadiwtu,673,17030
2016,kadiwtu,1453,17030
2017,kadiwtu,551,17030
2018,kadiwtu,301,17030
2019,kadiwtu,2026,17030
2001,kraolandia,258,11411
2002,kraolandia,597,11411
2003,kraolandia,424,11411
2004,kraolandia,664,11411
2005,kraolandia,769,11411
2006,kraolandia,411,11411
2007,kraolandia,826,11411
2008,kraolandia,515,11411
2009,kraolandia,318,11411
2010,kraolandia,948,11411
2011,kraolandia,600,11411
2012,kraolandia,773,11411
2013,kraolandia,410,11411
2014,kraolandia,745,11411
2015,kraolandia,728,11411
2016,kraolandia,520,11411
2017,kraolandia,870,11411
2018,kraolandia,235,11411
2019,kraolandia,799,11411
2001,maraiwatsede,202,14133
2002,maraiwatsede,1794,14133
2003,maraiwatsede,333,14133
2004,maraiwatsede,1857,14133
2005,maraiwatsede,595,14133
2006,maraiwatsede,698,14133
2007,maraiwatsede,1334,14133
2008,maraiwatsede,561,14133
2009,maraiwatsede,76,14133
2010,maraiwatsede,871,14133
2011,maraiwatsede,219,14133
2012,maraiwatsede,279,14133
2013,maraiwatsede,787,14133
2014,maraiwatsede,704,14133
2015,maraiwatsede,942,14133
2016,maraiwatsede,928,14133
2017,maraiwatsede,807,14133
2018,maraiwatsede,585,14133
2019,maraiwatsede,558,14133
2001,parabubure,344,13856
2002,parabubure,627,13856
2003,parabubure,578,13856
2004,parabubure,778,13856
2005,parabubure,666,13856
2006,parabubure,618,13856
2007,parabubure,1146,13856
2008,parabubure,709,13856
2009,parabubure,258,13856
2010,parabubure,1156,13856
2011,parabubure,928,13856
2012,parabubure,852,13856
2013,parabubure,596,13856
2014,parabubure,750,13856
2015,parabubure,599,13856
2016,parabubure,817,13856
2017,parabubure,876,13856
2018,parabubure,754,13856
2019,parabubure,804,13856
2001,parque do araguaia,1798,49153
2002,parque do araguaia,2020,49153
2003,parque do araguaia,1997,49153
2004,parque do araguaia,1498,49153
2005,parque do araguaia,2352,49153
2006,parque do araguaia,1673,49153
2007,parque do araguaia,4898,49153
2008,parque do araguaia,2475,49153
2009,parque do araguaia,437,49153
2010,parque do araguaia,7694,49153
2011,parque do araguaia,1846,49153
2012,parque do araguaia,4490,49153
2013,parque do araguaia,1013,49153
2014,parque do araguaia,2235,49153
2015,parque do araguaia,1852,49153
2016,parque do araguaia,3360,49153
2017,parque do araguaia,3632,49153
2018,parque do araguaia,1319,49153
2019,parque do araguaia,2559,49153
2001,parque do tumucumaque,320,11085
2002,parque do tumucumaque,791,11085
2003,parque do tumucumaque,238,11085
2004,parque do tumucumaque,1283,11085
2005,parque do tumucumaque,350,11085
2006,parque do tumucumaque,544,11085
2007,parque do tumucumaque,306,11085
2008,parque do tumucumaque,786,11085
2009,parque do tumucumaque,895,11085
2010,parque do tumucumaque,241,11085
2011,parque do tumucumaque,645,11085
2012,parque do tumucumaque,718,11085
2013,parque do tumucumaque,280,11085
2014,parque do tumucumaque,982,11085
2015,parque do tumucumaque,586,11085
2016,parque do tumucumaque,396,11085
2017,parque do tumucumaque,815,11085
2018,parque do tumucumaque,516,11085
2019,parque do tumucumaque,309,11085
2001,parque do xingu,238,13441
2002,parque do xingu,408,13441
2003,parque do xingu,429,13441
2004,parque do xingu,418,13441
2005,parque do xingu,471,13441
2006,parque do xingu,494,13441
2007,parque do xingu,1078,13441
2008,parque do xingu,306,13441
2009,parque do xingu,168,13441
2010,parque do xingu,2094,13441
2011,parque do xingu,791,13441
2012,parque do xingu,682,13441
2013,parque do xingu,275,13441
2014,parque do xingu,779,13441
2015,parque do xingu,706,13441
2016,parque do xingu,1805,13441
2017,parque do xingu,1052,13441
2018,parque do xingu,344,13441
2019,parque do xingu,903,13441
2001,pimentel barbosa,554,13670
2002,pimentel barbosa,674,13670
2003,pimentel barbosa,780,13670
2004,pimentel barbosa,535,13670
2005,pimentel barbosa,707,13670
2006,pimentel barbosa,475,13670
2007,pimentel barbosa,1364,13670
2008,pimentel barbosa,482,13670
2009,pimentel barbosa,380,13670
2010,pimentel barbosa,1408,13670
2011,pimentel barbosa,434,13670
2012,pimentel barbosa,693,13670
2013,pimentel barbosa,401,13670
2014,pimentel barbosa,868,13670
2015,pimentel barbosa,666,13670
2016,pimentel barbosa,916,13670
2017,pimentel barbosa,839,13670
2018,pimentel barbosa,448,13670
2019,pimentel barbosa,1045,13670
2001,raposa serra do sol,376,11541
2002,raposa serra do sol,631,11541
2003,raposa serra do sol,471,11541
2004,raposa serra do sol,871,11541
2005,raposa serra do sol,519,11541
2006,raposa serra do sol,723,11541
2007,raposa serra do sol,688,11541
2008,raposa serra do sol,587,11541
2009,raposa serra do sol,733,11541
2010,raposa serra do sol,350,11541
2011,raposa serra do sol,796,11541
2012,raposa serra do sol,626,11541
2013,raposa serra do sol,571,11541
2014,raposa serra do sol,641,11541
2015,raposa serra do sol,619,11541
2016,raposa serra do sol,412,11541
2017,raposa serra do sol,629,11541
2018,raposa serra do sol,581,11541
2019,raposa serra do sol,642,11541